wavelength (nm);5_8_2023;5_8_2024;5_8_2025;5_8_2026;5_8_2027;5_8_2028;5_8_2029;5_8_2030;5_8_2031;5_8_2032;12/06/2023;12/06/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;08/05/2023;08/05/2023;22_05_2023;22_05_2024;22_05_2025;22_05_2026;22_05_2027;22_05_2028;22_05_2029;22_05_2030;22_05_2031;22_05_2032;22_05_2033;22_05_2034;22_05_2035;22_05_2036;22_05_2037;22_05_2038;22_05_2039
203.5;255.951;333.138;278.38;279.513;314.06;320.6;220.064;218.806;219.295;212.782;-0.053;-0.053;52.566;65.651;98.265;75.648;75.616;273.417;324.643;273.088;98.978;16.095;89.305;79.961;65.535;138.641;333.38;363.671;68.636;143.504;293.054;70.939;195.323;79.52;103.069;56.646;33.675;3.01;177.546;83.211;39.874
204;252.246;328.674;273.301;274.714;312.638;319.468;217.184;216.026;219.619;213.671;-0.045;-0.045;51.858;64.977;96.762;74.75;74.763;270.511;320.565;269.863;98.646;16.068;89.126;78.626;64.195;136.304;327.488;356.636;67.953;140.803;288.45;69.659;191.473;79.117;102.513;56.282;33.383;2.919;173.313;80.725;38.668
204.5;247.188;322.987;267.022;268.457;308.677;319.214;213.873;212.486;219.882;214.594;-0.046;-0.046;51.075;64.245;95.424;73.847;73.848;266.527;316.735;266.816;98.258;15.818;88.501;77.523;63.37;133.804;321.376;349.498;66.572;138.539;283.402;68.148;187.947;78.104;101.499;55.813;33.097;2.852;169.314;78.7;37.699
205;242.806;316.367;261.304;263.484;304.128;317.103;210.212;208.804;220.022;214.413;-0.05;-0.05;50.056;63.564;93.934;73.066;72.886;263.306;312.034;263.99;97.913;15.741;87.859;76.244;62.324;131.288;315.487;342.65;65.316;135.679;277.8;67.072;184.279;76.817;100.226;55.223;32.583;2.795;165.371;76.953;36.756
205.5;239.057;312.082;255.87;259.218;300.94;314.397;206.136;204.359;219.415;213.32;-0.059;-0.059;49.13;62.77;92.478;72.412;72.17;259.647;306.882;260.134;97.538;15.663;85.65;75.625;61.264;129.023;309.473;335.793;64.055;132.976;271.549;65.554;180.509;75.985;99.166;54.541;32.063;2.756;161.724;75.177;35.926
206;235.159;308.607;252.773;255.947;297.916;310.718;203.158;200.338;219.47;212.938;-0.062;-0.062;48.213;62.143;91.295;71.541;71.451;256.1;302.198;256.791;97.112;15.65;84.003;74.681;59.929;126.822;303.463;329.147;63.191;130.379;266.732;64.18;176.147;74.849;98.155;53.54;31.454;2.739;157.838;73.396;34.934
206.5;232.225;304.401;248.55;251.805;292.079;305.139;199.584;196.373;219.387;213.024;-0.062;-0.062;47.547;61.371;90.081;70.532;70.922;252.844;296.999;253.064;96.603;15.652;81.137;72.67;58.747;124.19;296.867;323.162;62.196;127.941;261.159;62.856;171.479;73.512;96.794;52.38;31.003;2.697;154.329;71.547;34.141
207;228.098;297.71;243.68;247.318;286.714;301.025;195.285;192.595;218.926;212.221;-0.06;-0.06;46.867;60.547;88.894;69.521;70.12;248.493;293.042;248.914;96.252;15.563;78.964;71.584;57.296;122.208;290.288;318.018;60.535;125.617;255.537;61.308;167.467;71.846;94.6;51.255;30.445;2.659;151.484;70.095;33.149
207.5;223.5;291.278;239.289;242.645;280.668;295.366;191.528;189.046;217.829;211.273;-0.066;-0.066;46.304;59.866;87.674;68.601;69.16;243.65;288.088;243.671;95.534;15.534;77.8;70.362;55.927;119.477;284.418;311.887;59.004;123.261;250.836;59.522;163.438;70.214;92.148;50.132;29.673;2.61;148.251;68.401;32.119
208;218.456;285.598;234.779;237.847;276.054;288.634;187.305;184.883;217.04;209.926;-0.065;-0.065;45.763;58.784;86.292;67.461;68.151;238.543;282.038;238.518;94.607;15.379;75.591;68.97;54.594;116.978;278.299;306.338;57.541;121.093;245.559;57.673;159.039;68.426;89.759;48.907;28.906;2.543;144.578;66.887;31.26
208.5;213.615;279.873;230.811;231.85;269.4;283.327;183.205;181.129;215.88;210.217;-0.065;-0.065;45.44;57.564;84.974;66.335;67.049;233.411;276.079;233.013;93.609;15.079;74.866;67.461;53.366;114.26;271.37;299.351;56.271;118.793;239.858;56.066;154.539;66.793;87.186;47.826;28.025;2.453;141.233;65.377;30.613
209;208.426;274.006;227.021;227.302;263.147;277.522;179.603;177.899;214.814;210.001;-0.062;-0.062;44.697;56.522;83.362;65.071;65.936;227.713;270.067;227.451;92.636;14.825;74.338;65.559;51.896;111.392;264.733;292.618;54.891;116.31;234.255;54.522;149.984;64.71;84.923;46.582;27.397;2.367;138.318;63.766;29.921
209.5;204.468;269.46;222.429;222.731;257.125;271.622;176.615;174.031;213.149;209.519;-0.061;-0.061;43.951;55.63;81.834;64.013;64.752;222.344;264.286;221.894;91.706;14.561;72.905;63.321;50.493;108.526;258.506;285.261;53.609;113.623;227.941;52.964;145.681;62.561;82.763;45.146;26.812;2.304;135.388;62.542;29.285
210;200.42;264.939;218.387;220.127;251.399;265.423;173.371;170.684;211.624;208.07;-0.066;-0.066;43.335;54.689;80.341;63;63.522;217.573;258.142;216.835;91.009;14.443;70.588;60.818;49.618;105.975;252.565;278.978;52.516;110.755;222.036;51.591;141.407;60.906;80.476;43.986;26.1;2.237;132.06;61.159;28.703
210.5;196.176;260.435;214.861;216.959;246.972;260.746;169.729;167.344;210.077;206.725;-0.062;-0.062;42.732;54.063;79.078;62.119;62.515;213.378;252.273;212.288;90.305;14.316;67.947;59.038;48.52;103.358;247.536;272.647;51.618;108.018;216.609;50.18;136.841;59.344;78.193;42.809;25.515;2.175;128.909;59.753;28.408
211;192.394;256.009;211.742;214.238;241.483;254.732;167.045;164.497;208.877;204.973;-0.05;-0.05;41.829;53.276;78.136;61.438;61.791;208.779;247.918;208.981;89.93;14.404;65.551;56.915;47.731;101.023;242.228;266.768;51.27;105.318;211.863;49.036;132.11;57.982;76.677;41.549;24.877;2.122;126.025;58.425;28.09
211.5;188.809;251.07;208.63;210.601;236.234;249.117;163.899;161.847;207.774;203.627;-0.043;-0.043;41.095;52.418;76.959;60.664;61.076;204.574;243.272;204.77;89.546;14.402;63.327;55.15;46.976;98.632;237.255;261.456;50.402;102.873;207.5;47.68;127.775;56.613;75.143;40.332;24.538;2.075;123.687;57.236;27.642
212;185.198;245.354;205.487;207.724;231.654;244.471;160.584;158.968;206.169;201.663;-0.041;-0.041;40.363;51.538;76.06;59.955;60.34;200.193;239.129;201.307;89.412;14.447;61.835;54.369;45.751;97.032;233.432;256.225;49.29;100.783;204.429;46.044;124.33;55.345;73.696;39.043;24.079;2.031;121.88;56.61;26.837
212.5;181.987;240.762;202.289;205.489;227.274;238.79;157.291;156.039;205.832;199.696;-0.039;-0.039;39.569;50.88;74.874;59.255;59.652;196.003;233.995;197.793;88.798;14.438;60.452;53.771;44.748;95.329;228.888;251.44;48.116;98.814;201.214;44.579;120.626;54.409;72.114;38.406;23.597;1.973;119.963;55.73;26.178
213;178.22;236.496;199.727;202.55;223.376;233.881;154.468;153.102;205.167;197.903;-0.037;-0.037;38.934;49.843;73.648;58.36;58.993;192.099;229.041;194.272;88.252;14.282;59.902;53.253;43.967;93.9;224.918;246.57;46.973;97.317;197.687;42.918;117.089;53.5;70.458;37.674;23.148;1.914;118.06;54.837;25.578
213.5;174.615;232.683;197.411;199.43;218.501;230.251;152.132;150.69;203.463;196.567;-0.036;-0.036;38.399;49.178;72.377;57.459;58.149;188.433;224.749;190.698;87.475;13.921;60.138;52.842;43.156;92.376;220.371;242.021;45.898;95.622;194.017;41.467;113.922;52.855;69.15;37.28;22.583;1.856;116.706;54.093;25.177
214;171.533;229.116;194.356;197.332;214.699;225.826;149.847;148.549;201.797;195.086;-0.038;-0.038;37.65;48.395;70.881;56.533;57.155;184.772;220.315;187.226;86.63;13.554;60.088;52.514;42.208;90.873;216.586;237.942;44.99;93.937;190.064;40.053;110.731;52.14;68.227;36.717;22.298;1.801;114.937;53.255;24.694
214.5;169.802;226.824;191.333;195.166;210.289;220.923;147.879;146.39;200.271;193.83;-0.036;-0.036;37.207;47.597;69.638;55.644;56.021;181.607;215.505;183.911;85.983;13.328;60.167;52.153;41.355;89.512;212.524;234.029;44.125;92.312;186.162;38.736;107.642;51.238;67.311;36.198;21.866;1.748;113.036;52.563;24.234
215;167.142;223.81;188.974;193.644;206.711;217.174;145.874;144.091;198.61;191.917;-0.042;-0.042;36.895;46.887;68.443;54.681;55.114;178.22;211.332;180.599;85.37;13.115;60.336;52.069;40.713;88.031;208.553;230.683;43.271;90.657;182.523;37.555;104.524;50.953;66.649;35.904;21.465;1.675;111.189;51.526;24.067
215.5;164.198;219.934;186.516;191.087;202.988;213.929;143.98;141.671;196.173;190.328;-0.034;-0.034;36.672;46.113;67.192;53.917;54.282;175.368;207.445;177.505;84.767;12.961;60.619;52.232;39.905;86.63;205.154;227.077;42.555;89.065;179.443;36.526;101.306;50.494;66.274;35.58;21.145;1.62;109.424;50.699;23.843
216;161.426;217.545;184.145;188.797;198.949;210.109;142.344;139.321;194.184;188.471;-0.028;-0.028;36.003;45.316;66.115;53.258;53.614;172.19;204.332;174.871;84.165;12.849;60.255;52.433;39.234;85.078;201.595;223.67;41.954;87.707;176.892;35.439;98.255;49.879;66.061;35.147;20.882;1.552;107.724;50.039;23.622
216.5;159.001;213.375;182.182;186.016;195.358;206.888;139.988;137.344;191.841;186.981;-0.028;-0.028;35.598;44.626;65.087;52.568;52.969;169.635;201.241;171.775;83.624;12.772;60.327;52.85;38.42;83.492;198.719;219.953;40.893;86.456;174.453;34.363;95.565;49.268;65.16;34.681;20.82;1.491;106.289;49.432;23.209
217;157.039;209.881;180.133;183.709;192.014;203.621;138.206;135.193;189.894;185.561;-0.032;-0.032;35.162;43.904;64.02;51.823;52.253;167.358;198.295;169.491;83.232;12.804;60.314;53.761;37.399;82.088;196.253;216.269;40.025;85.186;172.455;33.066;92.861;48.251;64.393;34.04;20.677;1.429;105.118;49.07;22.772
217.5;154.749;206.768;178.553;181.972;189.411;200.527;136.542;133.465;188.558;184.091;-0.027;-0.027;34.79;43.502;62.819;51.029;51.619;164.854;195.097;166.631;82.8;12.742;60.176;54.491;36.841;80.872;193.222;213.044;39.278;83.904;170.103;31.909;90.13;47.488;63.721;33.855;20.692;1.376;103.689;48.473;22.414
218;152.349;204.236;177.318;180.007;187.246;197.904;135.019;131.598;187.164;182.772;-0.028;-0.028;34.32;42.978;61.828;50.184;50.956;162.878;192.892;164.074;82.433;12.623;60.189;54.837;36.493;79.634;190.752;209.231;38.78;82.62;167.353;30.802;87.35;46.915;63.362;33.783;20.613;1.33;102.452;47.703;22.112
218.5;149.931;201.426;175.82;177.494;184.879;194.866;133.195;129.46;184.909;180.799;-0.029;-0.029;33.908;42.519;60.782;49.326;50.067;160.788;190.447;161.505;81.671;12.358;60.704;55.242;36.166;78.365;188.268;205.968;38.377;81.354;164.752;29.825;84.545;46.483;62.916;33.614;20.518;1.292;101.406;47.028;21.757
219;147.804;199.272;174.063;175.903;182.368;191.995;131.191;127.461;183.428;179.27;-0.038;-0.038;33.412;41.827;59.838;48.458;49.145;158.56;187.814;159.09;81.246;12.124;61.133;55.618;35.747;77.261;185.478;203.143;37.875;80.222;162.027;28.756;81.475;45.942;62.425;33.413;20.442;1.252;100.074;46.219;21.478
219.5;145.792;196.926;172.33;173.791;180.038;188.941;129.498;125.533;181.789;177.391;-0.042;-0.042;32.778;41.149;59.018;47.593;48.37;156.589;185.543;156.979;80.923;11.978;60.865;55.717;35.442;76.302;182.616;200.024;37.452;78.959;159.469;27.976;78.409;45.542;61.868;33.218;20.212;1.214;98.89;45.482;21.336
220;143.599;194.395;170.71;172.239;178.274;186.295;128.035;123.708;179.557;175.353;-0.047;-0.047;32.058;40.389;58.075;46.909;47.746;154.364;183.344;154.753;80.41;11.94;60.646;55.514;35.099;75.265;180.043;197.117;36.92;77.816;156.919;27.31;75.656;45.438;61.514;33.087;19.933;1.169;97.677;44.732;21.213
220.5;141.486;191.924;168.895;170.565;175.761;183.587;126.408;121.816;177.421;173.28;-0.042;-0.042;31.518;39.596;57.05;46.283;47.072;152.443;181.162;152.752;80.008;11.979;60.574;55.469;34.65;74.248;177.528;194.818;36.457;76.849;154.8;26.528;73.085;45.116;61.107;32.964;19.714;1.121;96.76;44.234;20.908
