t;Csour;Esol;Rt;A_405;A_450;A_492;A_630;A405;A450;A492;A630;;;;;;;;;;;;;;
20;CC;N1;80;0.12;0.12;0.116;0.124;0.049;0.062;0.057;0.063;;;;;;;;;;;;;;
20;CC;N2;10;0.253;0.247;0.247;0.287;0.194;0.187;0.173;0.234;;;;;;;;;;;;;;
20;CC;N2;20;0.223;0.223;0.22;0.283;0.164;0.163;0.146;0.23;;;;;;;;;;;;;;
20;CC;N2;30;0.239;0.234;0.234;0.31;0.18;0.174;0.16;0.257;;;;;;;;;;;;;;
20;CC;N2;40;0.245;0.244;0.242;0.31;0.186;0.184;0.168;0.257;;;;;;;;;;;;;;
20;CC;N2;50;0.265;0.258;0.26;0.338;0.206;0.198;0.186;0.285;;;;;;;;;;;;;;
20;CC;N2;60;0.244;0.246;0.246;0.34;0.185;0.186;0.172;0.287;;;;;;;;;;;;;;
20;CC;N2;70;0.213;0.223;0.215;0.279;0.154;0.163;0.141;0.226;;;;;;;;;;;;;;
20;CC;N2;80;0.174;0.179;0.176;0.232;0.115;0.119;0.102;0.179;;;;;;;;;;;;;;
20;CS;N1;10;0.189;0.184;0.191;0.191;0.102;0.091;0.083;0.11;;;;;;;;;;;;;;
20;CS;N1;20;0.114;0.112;0.12;0.118;0.027;0.019;0.012;0.037;;;;;;;;;;;;;;
20;CS;N1;30;0.128;0.123;0.132;0.128;0.041;0.03;0.024;0.047;;;;;;;;;;;;;;
20;CS;N1;40;0.145;0.144;0.148;0.155;0.058;0.051;0.04;0.074;;;;;;;;;;;;;;
20;CS;N1;50;0.202;0.196;0.202;0.232;0.115;0.103;0.094;0.151;;;;;;;;;;;;;;
20;CS;N1;60;0.185;0.185;0.187;0.22;0.098;0.092;0.079;0.139;;;;;;;;;;;;;;
20;CS;N1;70;0.152;0.159;0.159;0.172;0.065;0.066;0.051;0.091;;;;;;;;;;;;;;
20;CS;N1;80;0.121;0.122;0.128;0.127;0.034;0.029;0.02;0.046;;;;;;;;;;;;;;
20;CT;N4;10;0.237;0.229;0.23;0.25;0.192;0.188;0.184;0.201;;;;;;;;;;;;;;
20;CT;N4;20;0.185;0.181;0.18;0.209;0.14;0.14;0.134;0.16;;;;;;;;;;;;;;
20;CT;N4;30;0.226;0.219;0.22;0.271;0.181;0.178;0.174;0.222;;;;;;;;;;;;;;
20;CT;N4;40;0.249;0.245;0.246;0.308;0.204;0.204;0.2;0.259;;;;;;;;;;;;;;
20;CT;N4;50;0.247;0.238;0.24;0.312;0.202;0.197;0.194;0.263;;;;;;;;;;;;;;
20;CT;N4;60;0.233;0.232;0.232;0.302;0.188;0.191;0.186;0.253;;;;;;;;;;;;;;
20;CT;N4;70;0.247;0.25;0.246;0.325;0.202;0.209;0.2;0.276;;;;;;;;;;;;;;
20;CT;N4;80;0.23;0.228;0.227;0.303;0.185;0.187;0.181;0.254;;;;;;;;;;;;;;
30;CSC;N1;10;0.168;0.165;0.171;0.195;0.053;0.071;0.085;0.101;;;;;;;;;;;;;;
30;CSC;N1;20;0.121;0.127;0.13;0.133;0.006;0.033;0.044;0.039;;;;;;;;;;;;;;
30;CSC;N1;30;0.126;0.126;0.13;0.148;0.011;0.032;0.044;0.054;;;;;;;;;;;;;;
30;CSC;N1;40;0.156;0.153;0.153;0.149;0.041;0.059;0.067;0.055;;;;;;;;;;;;;;
30;CSC;N1;50;0.154;0.152;0.16;0.185;0.039;0.058;0.074;0.091;;;;;;;;;;;;;;
30;CSC;N1;60;0.164;0.165;0.168;0.155;0.049;0.071;0.082;0.061;;;;;;;;;;;;;;
30;CSC;N1;70;0.174;0.193;0.204;0.171;0.059;0.099;0.118;0.077;;;;;;;;;;;;;;
